Name            Count
Machop            1
Beedrill          1
Jynx              1
Paras             2
Growlithe         1
Goldeen           1
Eevee             2
Doduo             2
Venonat           2
Gastly            1
Drowzee           3
Slowpoke          1
Caterpie          5
Pidgey            9
Horsea            3
Grimer            1
Geodude           1
NidoranFemale     3
Tentacool         1
Rhyhorn           2
Bellsprout        3
Weedle            3
Clefairy          3
Meowth            1
Spearow           2
Krabby            1
Ekans             1
Staryu            1
Zubat             9
Seel              1
NidoranMale       3


Total kinds: 31 
Total count: 71
